"","package","month","total"
"633","astsa",2017-01-01,3829
"634","astsa",2017-02-01,4558
"635","astsa",2017-03-01,5359
"636","astsa",2017-04-01,6310
"637","astsa",2017-05-01,4684
"638","astsa",2017-06-01,3217
"639","astsa",2017-07-01,2777
"640","astsa",2017-08-01,3036
"641","astsa",2017-09-01,3921
"642","astsa",2017-10-01,4602
"643","astsa",2017-11-01,5571
"644","astsa",2017-12-01,6336
"645","astsa",2018-01-01,4987
"646","astsa",2018-02-01,5176
"647","astsa",2018-03-01,5813
"648","astsa",2018-04-01,6718
"649","astsa",2018-05-01,4718
"650","astsa",2018-06-01,3527
"651","astsa",2018-07-01,3448
"652","astsa",2018-08-01,3260
"653","astsa",2018-09-01,6218
"654","astsa",2018-10-01,7726
"655","astsa",2018-11-01,7445
"656","astsa",2018-12-01,5214
"657","astsa",2019-01-01,5936
"658","astsa",2019-02-01,5725
"659","astsa",2019-03-01,7343
"660","astsa",2019-04-01,7968
"661","astsa",2019-05-01,8791
"662","astsa",2019-06-01,4804
"663","astsa",2019-07-01,4505
"664","astsa",2019-08-01,1121
"665","autovarCore",2012-10-01,0
"666","autovarCore",2012-11-01,0
"667","autovarCore",2012-12-01,0
"668","autovarCore",2013-01-01,0
"669","autovarCore",2013-02-01,0
"670","autovarCore",2013-03-01,0
"671","autovarCore",2013-04-01,0
"672","autovarCore",2013-05-01,0
"673","autovarCore",2013-06-01,0
"674","autovarCore",2013-07-01,0
"675","autovarCore",2013-08-01,0
"676","autovarCore",2013-09-01,0
"677","autovarCore",2013-10-01,0
"678","autovarCore",2013-11-01,0
"679","autovarCore",2013-12-01,0
"680","autovarCore",2014-01-01,0
"681","autovarCore",2014-02-01,0
"682","autovarCore",2014-03-01,0
"683","autovarCore",2014-04-01,0
"684","autovarCore",2014-05-01,0
"685","autovarCore",2014-06-01,0
"686","autovarCore",2014-07-01,0
"687","autovarCore",2014-08-01,0
"688","autovarCore",2014-09-01,0
"689","autovarCore",2014-10-01,0
"690","autovarCore",2014-11-01,0
"691","autovarCore",2014-12-01,0
"692","autovarCore",2015-01-01,0
"693","autovarCore",2015-02-01,0
"694","autovarCore",2015-03-01,0
"695","autovarCore",2015-04-01,0
"696","autovarCore",2015-05-01,0
"697","autovarCore",2015-06-01,0
"698","autovarCore",2015-07-01,289
"699","autovarCore",2015-08-01,333
"700","autovarCore",2015-09-01,459
"701","autovarCore",2015-10-01,440
"702","autovarCore",2015-11-01,385
"703","autovarCore",2015-12-01,373
"704","autovarCore",2016-01-01,426
"705","autovarCore",2016-02-01,332
"706","autovarCore",2016-03-01,308
"707","autovarCore",2016-04-01,300
"708","autovarCore",2016-05-01,320
"709","autovarCore",2016-06-01,297
"710","autovarCore",2016-07-01,329
"711","autovarCore",2016-08-01,190
"712","autovarCore",2016-09-01,255
"713","autovarCore",2016-10-01,295
"714","autovarCore",2016-11-01,296
"715","autovarCore",2016-12-01,259
"716","autovarCore",2017-01-01,296
